month,window,alpha,Mkt_RF,SMB,HML,Mom,alpha_se,Mkt_RF_se,SMB_se,HML_se,Mom_se,r2,nobs,fitted_oos,residual_oos,excess_ret,annualized_alpha
2025-04-01,24,-0.0023820558348198097,1.5428967226220507,0.8742219070731133,-0.2492720280990296,0.4982343818353724,0.00855458763136712,0.1965625497635752,0.6083328505526217,0.32761628872529275,0.4058414647713825,0.7972950091645513,24.0,0.09747040291463144,-0.06347040291463134,0.0340000000000001,-0.028213131173390638
2025-05-01,24,-0.004337217585214253,1.5049053737567784,0.7591316880922159,-0.2302787126802613,0.4506316560156013,0.009559966078681696,0.21276893744593461,0.627060669937018,0.36306787719371075,0.4183477787089445,0.7768638138970076,24.0,0.07496648378496844,-0.04126648378496844,0.0337,-0.05082283060821913
2025-06-01,24,-0.0053779237150936784,1.5453832902105298,0.47097358847993664,-0.14036735252285787,0.4229931253461312,0.00926673015612225,0.21419901548887468,0.6020523943086623,0.3657689812213662,0.4079143918376192,0.786494980354018,24.0,0.050947729428364716,-0.016847729428364717,0.0341,-0.06266003681448984
2014-10-01,36,,,,,,,,,,,,,,,-0.0141999999999999,
2014-11-01,36,,,,,,,,,,,,,,,0.0141999999999999,
2014-12-01,36,,,,,,,,,,,,,,,-0.0073,
2015-01-01,36,,,,,,,,,,,,,,,0.0023,
2015-02-01,36,,,,,,,,,,,,,,,0.0182,
2015-03-01,36,,,,,,,,,,,,,,,-0.0161,
2015-04-01,36,,,,,,,,,,,,,,,0.0137,
2015-05-01,36,,,,,,,,,,,,,,,0.0364,
2015-06-01,36,,,,,,,,,,,,,,,0.038,
2015-07-01,36,,,,,,,,,,,,,,,-0.0266,
2015-08-01,36,,,,,,,,,,,,,,,-0.0516999999999999,
2015-09-01,36,,,,,,,,,,,,,,,0.003,
2015-10-01,36,,,,,,,,,,,,,,,0.0666,
2015-11-01,36,,,,,,,,,,,,,,,0.0038,
2015-12-01,36,,,,,,,,,,,,,,,-0.006,
2016-01-01,36,,,,,,,,,,,,,,,-0.11320000000000001,
2016-02-01,36,,,,,,,,,,,,,,,0.0116,
2016-03-01,36,,,,,,,,,,,,,,,0.0794,
2016-04-01,36,,,,,,,,,,,,,,,0.0184,
2016-05-01,36,,,,,,,,,,,,,,,0.0217,
2016-06-01,36,,,,,,,,,,,,,,,-0.046,
2016-07-01,36,,,,,,,,,,,,,,,0.0635,
2016-08-01,36,,,,,,,,,,,,,,,0.0038,
2016-09-01,36,,,,,,,,,,,,,,,0.07619999999999999,
2016-10-01,36,,,,,,,,,,,,,,,-0.07200000000000001,
2016-11-01,36,,,,,,,,,,,,,,,-0.037500000000000006,
2016-12-01,36,,,,,,,,,,,,,,,0.015399999999999999,
2017-01-01,36,,,,,,,,,,,,,,,0.0558,
2017-02-01,36,,,,,,,,,,,,,,,0.0429,
2017-03-01,36,,,,,,,,,,,,,,,0.031099999999999996,
2017-04-01,36,,,,,,,,,,,,,,,0.0453,
2017-05-01,36,,,,,,,,,,,,,,,0.0561,
2017-06-01,36,,,,,,,,,,,,,,,-0.0197,
2017-07-01,36,,,,,,,,,,,,,,,0.0393,
2017-08-01,36,,,,,,,,,,,,,,,-0.0124,
2017-09-01,36,0.0004758147313862447,1.1488386614995614,0.8832023293991145,-0.5856551705081705,0.06300890595331876,0.004531324789237091,0.13860974477219812,0.3346741589873666,0.32490678695994396,0.2560247863743853,0.696666644944337,36.0,,,0.0443,0.005724742878837397
2017-10-01,36,-0.00045303333725331754,1.1486788094774083,0.942073196781773,-0.5942065338421101,0.03157052694015122,0.004723038992083257,0.14165358410420748,0.3473388349105595,0.3310735746395509,0.2563007953562655,0.6877224381725038,36.0,0.01849881491687294,-0.02359881491687294,-0.0050999999999999995,-0.0054228746943407735
2017-11-01,36,-0.001225183280703035,1.1551447923058429,1.020663999553375,-0.5808686417837121,0.02795011540986969,0.00477902300373496,0.1406408943007155,0.3599592962330567,0.328575443690287,0.2539769762853816,0.6932426039360744,36.0,0.010562954719337908,0.004837045280662091,0.015399999999999999,-0.014603531966556171
2017-12-01,36,-0.0016248550680840676,1.1538217412897278,0.9697855308849606,-0.555235026216877,0.051953026649059764,0.00480942582642049,0.1418500080721825,0.3539622387254207,0.326588311825163,0.25073092473235536,0.6901907853630284,36.0,0.0360660717472955,-0.013066071747295502,0.023,-0.01932495098298803
2018-01-01,36,-0.0015371081370361174,1.1989387418698394,0.9533920757292518,-0.5110866385529226,0.12232167712670783,0.004992732729882141,0.1413479164762403,0.37454175021606234,0.334884230138183,0.26057326290354965,0.7016092829198866,36.0,0.055562860672163816,0.03433713932783618,0.0899,-0.01829015557397251
2018-02-01,36,-0.0006264015460542022,1.233070994131402,0.8972718361522019,-0.5465211561565566,0.0752515456749856,0.004928887504373229,0.1362126901246343,0.3692443914238836,0.33017819150787514,0.25924234382764216,0.7271250162658452,36.0,-0.036712516542045666,-0.00988748345795433,-0.046599999999999996,-0.007490975542405076
2018-03-01,36,-0.001334815322551348,1.241317034018768,0.9170514118751294,-0.48901419390083406,0.12454650637223058,0.004825832860098309,0.13638291636003833,0.3705562596127442,0.32349372973010976,0.2557998062986677,0.7286354199192935,36.0,-0.012014735525046082,-0.02118526447495392,-0.0332,-0.015900711216446317
