Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
06/25/19,Purchase,"607,255.12",Units,First Am Govt Ob Fd Cl X,6/25/19,,,"3,528.92"
06/26/19,Purchase,"1,853.71",Units,First Am Govt Ob Fd Cl X,6/26/19,,,0.00
06/26/19,Purchase,"1,370.94",Units,First Am Govt Ob Fd Cl X,6/26/19,,,"-1,370.94"
06/26/19,Sale,685.47,Units,685.47 -685.47 First Am Govt Ob Fd Cl X,6/26/19,,,-685.47
06/26/19,Purchase,"1,500",Shares,Taiwan Semiconductor A D R,6/24/19,J.P. Morgan Securities LLC,39.9763 USD,"-60,664.92"
06/26/19,Purchase,"2,000",Shares,Stmicroelectronics N V,6/24/19,J.P. Morgan Securities LLC,17.0335 USD,"-94,751.92"
06/26/19,Sale,300,Shares,"94,751.92 -44,513.07 Shopify Inc A",6/24/19,J.P. Morgan Securities LLC,107.86 JPY,0.00
06/27/19,Sale,"96,880.00",Units,898.20 -898.20 Yen,6/26/19,,107.95 JPY,"1,796.40"
06/27/19,Sale,"50,811.00",Units,470.69 -470.69 Yen,6/27/19,,107.95 JPY,"2,737.78"
06/27/19,Sale,"149,299.56",Units,"149,299.56 -149,299.56 First Am Govt Ob Fd Cl X",6/27/19,,,"119,815.94"
06/27/19,Purchase,"3,000",Shares,"Dustin Group Ab Net Cost 28,215.63 USD",6/25/19,Jpmsgb2l Jp Morgan Sec London,86.8842 SEK,"91,600.31"
06/27/19,Purchase,"6,000",Shares,"Nordic Semiconductor Asa Net Cost 25,213.72 USD",6/25/19,Jpmsgb2l Jp Morgan Sec London,35.71879998 NOK,"66,386.59"
06/27/19,Purchase,"1,000",Shares,"Ams Ag Net Cost 33,159.47 USD",6/25/19,Jpmsgb2l Jp Morgan Sec London,32.3077 CHF,"33,227.12"
